V1,V2,V3,V4,V5,V6
klein_emotional_attraction_male_qt,klein_gender_socialize_with_male_qt,M,0.1759,0.2106,0.403586719300031
klein_emotional_attraction_male_qt,klein_sexual_attraction_male_qt,M,0.9252,0.0384,2.90675773061676e-128
klein_emotional_attraction_male_qt,klein_sexual_community_preference_male_qt,M,0.678,0.1424,1.92410923977354e-06
klein_emotional_attraction_male_qt,klein_sexual_fantasies_male_qt,M,0.9253,0.0397,3.73815565803522e-120
klein_emotional_attraction_male_qt,klein_sexual_identity_male_qt,M,0.9172,0.0386,8.32541150231744e-125
klein_emotional_attraction_male_qt,klein_sexual_partners_male_qt,M,0.8893,0.0417,6.49529796453752e-101
klein_emotional_attraction_male_qt,sexual_attraction_male_cc,M,0.9031,0.0433,1.32192407444581e-96
klein_emotional_attraction_male_qt,sexual_attraction_male_ukbb_cc,M,0.7679,0.0849,1.49996305562931e-19
klein_emotional_attraction_male_qt,sexual_partners_male_cc,M,0.8745,0.0467,3.0442427613293e-78
klein_emotional_attraction_male_qt,sexual_partners_male_ukbb_cc,M,0.7431,0.0684,1.71021471869834e-27
klein_gender_socialize_with_male_qt,klein_sexual_attraction_male_qt,M,0.129,0.1773,0.466870499258605
klein_gender_socialize_with_male_qt,klein_sexual_community_preference_male_qt,M,0.0702,0.253,0.78141896522239
klein_gender_socialize_with_male_qt,klein_sexual_fantasies_male_qt,M,0.2531,0.185,0.171278239122807
klein_gender_socialize_with_male_qt,klein_sexual_identity_male_qt,M,0.1913,0.1818,0.292682468168787
klein_gender_socialize_with_male_qt,klein_sexual_partners_male_qt,M,0.1818,0.1779,0.306817616260322
klein_gender_socialize_with_male_qt,sexual_attraction_male_cc,M,0.1384,0.1818,0.446492156205928
klein_gender_socialize_with_male_qt,sexual_attraction_male_ukbb_cc,M,-0.0615,0.2118,0.77153451387551
klein_gender_socialize_with_male_qt,sexual_partners_male_cc,M,0.2245,0.1849,0.224682882022452
klein_gender_socialize_with_male_qt,sexual_partners_male_ukbb_cc,M,0.0043,0.1693,0.979736947600349
klein_sexual_attraction_male_qt,klein_sexual_community_preference_male_qt,M,0.5924,0.1094,6.12918369665584e-08
klein_sexual_attraction_male_qt,klein_sexual_fantasies_male_qt,M,1.0023,0.0056,0
klein_sexual_attraction_male_qt,klein_sexual_identity_male_qt,M,0.9992,0.005,0
klein_sexual_attraction_male_qt,klein_sexual_partners_male_qt,M,0.9937,0.0078,0
klein_sexual_attraction_male_qt,sexual_attraction_male_cc,M,1.0039,0.0054,0
klein_sexual_attraction_male_qt,sexual_attraction_male_ukbb_cc,M,0.8995,0.0345,7.48531940808509e-150
klein_sexual_attraction_male_qt,sexual_partners_male_cc,M,0.9874,0.0126,0
klein_sexual_attraction_male_qt,sexual_partners_male_ukbb_cc,M,0.8798,0.0345,1.89961694953842e-143
klein_sexual_community_preference_male_qt,klein_sexual_fantasies_male_qt,M,0.6178,0.1099,1.89334923304978e-08
klein_sexual_community_preference_male_qt,klein_sexual_identity_male_qt,M,0.649,0.104,4.36496277749619e-10
