pheno	rsid	pval	phenostring	phenocode	big_pval	effect_direction	category	big_pval_adj	phenocat	pval_sign	minpadj	prank	shortname	X3	pheno2
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Hair/balding pattern: Pattern 4	biobank_2395_4	3e-06	same	Physical	0.0447821145775788	NHB	3e-06	0.0447821145775788	8	Balding pattern 4	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Chest pain or discomfort	biobank_2335	0.013	opposite	Illnesses	1	NHB	-0.013	0.0401890771850066	6	Chest pain	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Number of incorrect matches in round	biobank_399	0.18	same	Physical	1	NHB	0.18	0.0171366225116868	4	# incorrect matches	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Seen doctor (GP) for nerves, anxiety, tension or depression	biobank_2090	0.28	same	Mental health	1	NHB	0.28	0.0473695256420611	9	Seen doctor for nerves	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Maternal smoking around birth	biobank_1787	0.44	same	Early life	1	NHB	0.44	0.0401890771850066	6	Maternal smoking around birth	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Ever smoked	biobank_20160	0.81	same	Smoking	1	NHB	0.81	0.00165096729076007	1	Ever smoked	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)	biobank_6164_1	0.86	same	Exercise and Work	1	NHB	0.86	0.0401890771850066	6	Walking for pleasure	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Smoking status: Current	biobank_20116_2	0.89	same	Smoking	1	NHB	0.89	0.00191070355531003	2	Smoking status: Current	FALSE	males
Non-heterosexual behaviour in males	rs11855646	2.1e-08	Smoking status: Previous	biobank_20116_1	0.92	opposite	Smoking	1	NHB	-0.92	0.0167186561089628	3	Smoking status: Previous	FALSE	males
Non-heterosexual behaviour in males	rs2867749	6.5e-09	Ever smoked	biobank_20160	7.9e-09	same	Smoking	0.00165096729076007	NHB	7.9e-09	0.00165096729076007	1	Ever smoked	FALSE	males
Non-heterosexual behaviour in males	rs2867749	6.5e-09	Smoking status: Previous	biobank_20116_1	7.2e-07	same	Smoking	0.0167186561089628	NHB	7.2e-07	0.0167186561089628	3	Smoking status: Previous	FALSE	males
Non-heterosexual behaviour in males	rs2867749	6.5e-09	Smoking status: Current	biobank_20116_2	0.075	same	Smoking	1	NHB	0.075	0.00191070355531003	2	Smoking status: Current	FALSE	males
