pheno	rsid	pval	phenostring	phenocode	big_pval	effect_direction	category	big_pval_adj	phenocat	pval_sign	minpadj	prank	shortname	X3	pheno2
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Sensitivity / hurt feelings	biobank_1950	1.5e-08	same	Mental health	0.000133658743517663	NSP	1.5e-08	9.65907186487648e-14	17	Sensitivity / hurt feelings	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Non-cancer illness code, self-reported: hypothyroidism/myxoedema	biobank_20002_1226	1.5e-05	same	Non-cancer illness	0.0530329714396586	NSP	1.5e-05	6.07350730897536e-17	14	Hypothyroidism	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Qualifications: College or University degree	biobank_6138_1	3.9e-05	same	Early life	0.116266605780921	NSP	3.9e-05	3.70264421486932e-30	4	University degree	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Neuroticism score	biobank_20127	0.00039	same	Mental health	0.634181486077749	NSP	0.00039	1.6545632361131e-13	19.5	Neuroticism score	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Ever smoked	biobank_20160	0.00054	same	Smoking	0.805917615425417	NSP	0.00054	5.13138192821563e-30	5	Ever smoked	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Sitting height	biobank_20015	0.00093	same	Physical	1	NSP	0.00093	1.9318143729753e-21	9	Sitting height	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Smoking status: Previous	biobank_20116_1	0.0019	same	Smoking	1	NSP	0.0019	2.72635092960223e-17	13	Smoking status: Previous	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Treatment/medication code: levothyroxine sodium	biobank_20003_1141191044	0.005	same	Treatment/medication	1	NSP	0.005	5.1588224732863e-21	10	Levothyroxine	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Qualifications: None of the above	biobank_6138_100	0.013	opposite	Early life	1	NSP	-0.013	1.6545632361131e-13	19.5	No degree	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Qualifications: A levels/AS levels or equivalent	biobank_6138_2	0.037	same	Early life	1	NSP	0.037	4.42707460473506e-14	15	A levels	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Trunk fat percentage	biobank_23127	0.06	opposite	Physical	1	NSP	-0.06	1.20738398310956e-13	18	Trunk fat percentage	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Hair/balding pattern: Pattern 3	biobank_2395_3	0.074	same	Physical	1	NSP	0.074	6.17731340195589e-14	16	Balding pattern 3	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Heel bone mineral density (BMD) T-score, automated	biobank_78	0.098	same	Physical	1	NSP	0.098	3.71502764033711e-25	7	Bone mineral density (heel)	FALSE	combined
N. heterosexual partners in males and females combined	rs5174	1.1e-11	Nap during day	biobank_1190	0.13	same	Exercise and Work	1	NSP	0.13	2.81722929392231e-25	6	Nap during day	FALSE	combined
